Row #	A
376	227
377	50
378	351
379	639
380	580
381	768
382	574
383	135
384	18
385	74
386	241
387	195
388	167
389	795
390	461
391	94
392	246
393	986
394	396
395	910
396	799
397	896
398	433
399	724
400	633
401	410
402	4
403	29
404	605
405	62
406	657
407	317
408	339
409	730
410	595
411	528
412	938
413	893
414	507
415	139
416	324
417	907
418	189
419	968
420	830
421	92
422	177
423	403
424	322
425	553
426	294
427	634
428	192
429	557
430	805
431	659
432	251
433	998
434	661
435	273
436	704
437	916
438	119
439	3
440	124
441	327
442	893
443	944
444	573
445	616
446	865
447	773
448	778
449	597
450	308
451	780
452	622
453	893
454	511
455	630
456	982
457	715
458	679
459	688
460	379
461	235
462	990
463	200
464	751
465	702
466	727
467	278
468	125
469	187
470	479
471	674
472	920
473	305
474	502
475	551
476	80
477	583
478	471
479	33
480	306
481	188
482	20
483	139
484	174
485	564
486	644
487	805
488	17
489	180
490	801
491	119
492	100
493	975
494	277
495	517
496	721
497	284
498	174
499	704
500	578
501	993
502	228
503	248
504	959
505	440
506	477
507	330
508	29
509	74
510	712
511	949
512	793
513	251
514	548
515	927
516	97
517	579
518	397
519	437
520	377
521	155
522	111
523	426
524	724
525	665
526	560
527	216
528	257
529	750
530	956
531	760
532	689
533	299
534	317
535	554
536	467
537	268
538	34
539	915
540	839
541	486
542	181
543	452
544	740
545	393
546	843
547	808
548	426
549	60
550	436
551	440
552	399
553	928
554	742
555	28
556	252
557	638
558	104
559	333
560	745
561	995
562	62
563	726
564	569
565	579
566	489
567	389
568	7
569	780
570	157
571	186
572	908
573	53
574	569
575	494
576	175
577	13
578	752
579	873
580	301
581	566
582	723
583	319
584	271
585	681
586	243
587	971
588	569
589	529
590	560
591	578
592	892
593	677
594	807
595	726
596	624
597	736
598	850
599	823
600	75
601	369
602	460
603	98
604	981
605	833
606	803
607	415
608	808
609	312
610	445
611	538
612	912
613	132
614	218
615	598
616	756
617	566
618	570
619	893
620	942
621	372
622	234
623	826
624	12
625	355
626	381
627	756
628	625
629	263
630	706
631	754
632	941
633	27
634	296
635	773
636	786
637	926
638	446
639	561
640	437
641	554
642	85
643	696
644	684
645	562
646	841
647	501
648	158
649	26
650	316
651	233
652	774
653	954
654	602
655	861
656	553
657	873
658	651
659	958
660	11
661	658
662	640
663	715
664	748
665	788
666	119
667	834
668	900
669	959
670	329
671	152
672	607
673	572
674	753
675	116
676	717
677	965
678	669
679	882
680	545
681	362
682	198
683	696
684	602
685	422
686	76
687	370
688	885
689	992
690	205
691	141
692	463
693	91
694	836
695	926
696	855
697	429
698	96
699	995
700	884
701	808
702	450
703	404
704	518
705	526
706	618
707	93
708	473
709	551
710	392
711	408
712	214
713	560
714	795
715	963
716	351
717	128
718	23
719	185
720	325
721	277
722	652
723	559
724	712
725	318
726	667
727	607
728	432
729	412
730	961
731	895
732	652
733	579
734	110
735	890
736	180
737	917
738	365
739	345
740	717
741	665
742	19
743	985
744	419
745	361
746	527
747	654
748	834
749	739
750	27
751	778
752	427
753	227
754	168
755	931
756	600
757	846
758	515
759	524
760	303
761	83
762	132
763	186
764	102
765	836
766	310
767	163
768	821
769	839
770	863
771	165
772	701
773	79
774	829
775	445
776	330
777	577
778	899
779	538
780	499
781	583
782	414
783	2
784	509
785	661
786	294
787	722
788	402
789	350
790	859
791	804
792	45
793	118
794	69
795	872
796	987
797	75
798	386
799	625
800	545
801	494
802	87
803	817
804	608
805	534
806	577
807	471
808	263
809	669
810	978
811	997
812	439
813	257
814	8
815	85
816	438
817	350
818	987
819	663
820	381
821	334
822	595
823	983
824	326
825	218
826	883
827	892
828	46
829	455
830	909
831	642
832	238
833	946
834	297
835	192
836	237
837	529
838	950
839	781
840	142
841	567
842	134
843	739
844	632
845	476
846	156
847	874
848	658
849	904
850	913
851	525
852	605
853	48
854	623
855	319
856	508
857	56
858	197
859	959
860	377
861	773
862	817
863	914
864	727
865	133
866	456
867	699
868	942
869	358
870	267
871	558
872	223
873	736
874	22
875	754
876	452
877	176
878	991
879	325
880	480
881	903
882	999
883	145
884	11
885	657
886	671
887	339
888	484
889	474
890	259
891	648
892	64
893	693
894	816
895	92
896	185
897	121
898	902
899	421
900	821
901	405
902	435
903	130
904	63
905	506
906	821
907	534
908	412
909	870
910	949
911	252
912	605
913	282
914	229
915	700
916	718
917	649
918	376
919	654
920	777
921	928
922	298
923	729
924	52
925	224
926	15
927	648
928	790
929	622
930	275
931	510
932	153
933	681
934	153
935	900
936	738
937	634
938	714
939	528
940	171
941	244
942	536
943	315
944	913
945	963
946	690
947	231
948	590
949	504
950	614
951	6
952	886
953	186
954	137
955	761
956	274
957	447
958	820
959	991
960	632
961	743
962	688
963	842
964	90
965	616
966	368
967	528
968	314
969	133
970	630
971	859
972	781
973	16
974	342
975	263
976	494
977	742
978	874
979	421
980	48
981	610
982	77
983	581
984	875
985	271
986	55
987	921
988	27
989	491
990	76
991	837
992	869
993	999
994	148
995	908
996	592
997	94
998	975
999	364
1000	569
